Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1009-0021,NORTH,Musumbe,Health post - MoH,0,1.15,-1.15,0
1009-0022,NORTH,Itulo,Health post - MoH,55,0.84,54.16,4
1009-0023,NORTH,Misuku,Health centre - MoH,45,17.7,27.3,4
1009-0024,NORTH,Kapoka,Health post - MoH,37.5,1.92,35.58,4
1009-0025,NORTH,Chisenga,Health post - MoH,24,1.55,22.45,4
1009-0026,NORTH,Chitipa District Vaccine Store,District vaccine store,120,129.68,-9.68,2
1009-0027,NORTH,Chitipa District Hospital,District hospital - MoH,55,33.92,21.08,4
1010-0000,NORTH,Karonga District Hospital,District hospital - MoH,37.5,26.35,11.15,4
1010-0001,NORTH,Karonga District Vaccine Store,District vaccine store,192.5,194.46,-1.96,2
1010-0002,NORTH,Wiliro,Health centre - MoH,75,5,70,4
1010-0003,NORTH,Vilaule,Health post - MoH,0,1.39,-1.39,0
1010-0004,NORTH,Mpata,Health centre - MoH,55,2.32,52.68,4
1010-0005,NORTH,Lupembe,Health centre - MoH,0,7.23,-7.23,0
1010-0006,NORTH,Mlare,Health centre - MoH,55,8.1,46.9,4
1010-0007,NORTH,Nyungwe,Health centre - MoH,75,11.25,63.75,4
1010-0008,NORTH,Wovwe Scheme,Health post - MoH,0,4.76,-4.76,0
1010-0009,NORTH,Tilora,Health post - MoH,0,9.87,-9.87,0
1010-0010,NORTH,Chilumba Garrison,Health centre - Private,0,3.11,-3.11,0
1010-0011,NORTH,St Annes,Health centre - CHAM,55,4.07,50.93,4
1010-0012,NORTH,Chilumba Rural Hospital,Rural hospital - MoH,75,12.56,62.44,4
1010-0013,NORTH,Kasoba,Health centre - MoH,0,15.08,-15.08,0
1010-0014,NORTH,Lupaso,Health post - MoH,0,4.52,-4.52,0
1010-0015,NORTH,Kaporo,Rural hospital - MoH,76,33.05,42.95,4
1010-0016,NORTH,Chikutu,Health post - MoH,55,2.88,52.12,4
1010-0017,NORTH,Atupele,Community hospital - CHAM,0,1.51,-1.51,0
1010-0018,NORTH,Iponga,Health centre - MoH,0,13.27,-13.27,0
1010-0019,NORTH,Songwe Border,Health post - MoH,0,3.36,-3.36,0
1010-0020,NORTH,Ngana,Health centre - MoH,0,2.36,-2.36,0
1010-0021,NORTH,Fulirwa,Health centre - MoH,85,27.82,57.18,4
1010-0022,NORTH,Hara,Health centre - MoH,0,6.01,-6.01,0
1010-0023,NORTH,Sangilo,Health centre - CHAM,0,7.46,-7.46,0
1010-0024,NORTH,Lwezga,Health centre - CHAM,0,1.71,-1.71,0
1011-0000,NORTH,St Peters Hospital,Hospital - CHAM,165,4.83,160.17,4
1011-0001,NORTH,Chizumulu Health Centre,Health centre - MoH,24,2.05,21.95,4
1012-0000,NORTH,Regional Vaccine Store,Regional vaccine store,1305,3666.54,-2361.54,0
1012-0004,NORTH,St Jonns Hospital,Hospital - CHAM,105,25.9,79.1,4
1012-0005,NORTH,Banja La Mtsogolo mzuzu,Health centre - Private,24,38.27,-14.27,0
1012-0006,NORTH,Mzuzu Central Hospital,Central hospital - MoH,0,38.27,-38.27,0
1012-0007,NORTH,MASM MZUZU,Health centre - Private,24,6.15,17.85,4
1012-0008,NORTH,EKWENDENI Mission Hospital,Hospital - CHAM,131,37.58,93.42,4
1012-0009,NORTH,Nkholongo Health Centre,Health centre - CHAM,0,6.78,-6.78,0
1012-0010,NORTH,Choma He Centrealth,Health centre - MoH,0,6.17,-6.17,0
1012-0011,NORTH,Ekwaiweni Dispensary,Health centre - MoH,0,5.48,-5.48,0
1012-0012,NORTH,Matuli Health centre,Health centre - MoH,0,6.97,-6.97,0
1012-0013,NORTH,Emsizini Heaqlth Centre,Health centre - MoH,17,6.09,10.91,4
1012-0014,NORTH,Mtwalo Health Centre,Health centre - MoH,24,7.52,16.48,4
1012-0015,NORTH,Njuyu Health Centre,Health centre - MoH,85,11.37,73.63,4
1012-0016,NORTH,Kafukule Health Centre,Health centre - MoH,60,8.34,51.66,4
1012-0017,NORTH,Luvwere Health Centre,Health centre - MoH,0,4.68,-4.68,0
1012-0018,NORTH,Mpherembe Health Centre,Health centre - MoH,37.5,20.58,16.92,4
1012-0019,NORTH,Kabwafu health Centre,Health centre - MoH,17,7.84,9.16,4
1012-0020,NORTH,Malidadi Health Centre,Health centre - MoH,0,9.85,-9.85,0
1012-0021,NORTH,Thunduwike Health Centre,Health centre - MoH,0,13.52,-13.52,0
1012-0022,NORTH,Enguthwini Health Centre,Health centre - MoH,24,11.31,12.69,4
1012-0023,NORTH,Kamwe Health Centre,Health centre - MoH,85,11.42,73.58,4
1012-0024,NORTH,Khuyo Clinic,Health post - MoH,24,9.65,14.35,4
1012-0025,NORTH,Bwengu Health Centre,Health centre - MoH,55,8.79,46.21,4
1012-0026,NORTH,Luzi Health Centre,Health centre - MoH,24,4.58,19.42,4
1012-0027,NORTH,Enukwenu HEALTH Centre,Health centre - MoH,105,12.4,92.6,4
1012-0028,NORTH,Mzuzu City Assembly Clinic,Health post - MoH,160,95.68,64.32,4
1012-0029,NORTH,KHUYUKUYU Health Centre,Health centre - MoH,105,4.41,100.59,4
1012-0030,NORTH,Lusangazi Dispensary,Dispensary - MoH,105,3.41,101.59,4
1012-0031,NORTH,Mzuzu Police Dispensary,Dispensary - Local Government,24,0.81,23.19,4
1012-0032,NORTH,Moyale Health Centre,Health centre - Private,55,2.85,52.15,4
1012-0033,NORTH,Mzuzu Healthy Centre,Health centre - MoH,60,9.42,50.58,4
1012-0034,NORTH,Mzimba North DHO Vaccine Store,District vaccine store,60,258.85,-198.85,0
1013-0000,NORTH,Endindeni,Health centre - MoH,0,15.05,-15.05,0
1013-0001,NORTH,Edingeni,Health centre - MoH,37.5,9.63,27.87,4
1013-0002,NORTH,Mzalangwe,Health centre - MoH,0,9.59,-9.59,0
1013-0003,NORTH,Madede,Health centre - MoH,24,9.26,14.74,4
1013-0004,NORTH,Bulala,Health centre - MoH,0,23.5,-23.5,0
1013-0005,NORTH,Hoho,Health centre - MoH,24,7.15,16.85,4
1013-0006,NORTH,Katete,Health centre - CHAM,55,10.86,44.14,4
1013-0007,NORTH,Manyamula,Health centre - MoH,18.2,16.97,1.23,2
1013-0008,NORTH,Mabiri,Health centre - CHAM,0,13.23,-13.23,0
1013-0009,NORTH,Mbarachanda,Health centre - MoH,37.5,10.42,27.08,4
1013-0010,NORTH,Kalikumbi,Health centre - CHAM,24,9.38,14.62,4
1013-0011,NORTH,Luwerezi,Health centre - MoH,85,17.09,67.91,4
1013-0012,NORTH,Mathandani,Health post - MoH,24,8.35,15.65,4
1013-0013,NORTH,Mtende,Health centre - MoH,55,11.35,43.65,4
1013-0014,NORTH,Khosolo,Health centre - MoH,55,12.49,42.51,4
1013-0015,NORTH,Msese,Health centre - MoH,37.5,4.94,32.56,4
1013-0016,NORTH,Vibangalala,Health centre - MoH,24,8.38,15.62,4
1013-0017,NORTH,Emfeni,Health centre - MoH,55,19.71,35.29,4
1013-0018,NORTH,Mkoma,Health centre - MoH,85,21.19,63.81,4
1013-0019,NORTH,Luviri,Health post - MoH,24,6.74,17.26,4
1013-0020,NORTH,Kabuwa,Health centre - MoH,85,3.41,81.59,4
1013-0021,NORTH,Jenda,Health centre - MoH,55,10.35,44.65,4
1013-0022,NORTH,Euthini,Rural hospital - MoH,55,16.91,38.09,4
1013-0023,NORTH,Ehehleni,Health centre - MoH,17,4.92,12.08,4
1013-0024,NORTH,Chikangawa,Health centre - MoH,105,6.22,98.78,4
1013-0025,NORTH,Luwawa,Health centre - MoH,17,3.49,13.51,4
1013-0026,NORTH,Raiply,Health centre - Private,24,6.61,17.39,4
1013-0027,NORTH,Lunjika,Health centre - CHAM,24,9.24,14.76,4
1013-0028,NORTH,Kamuteteka,Health centre - MoH,17,15.63,1.37,2
1013-0029,NORTH,Mzambazi,Community hospital - CHAM,60,13.54,46.46,4
1013-0030,NORTH,Mzimba South Vaccine Store,District vaccine store,420,357.46,62.54,3
1013-0031,NORTH,Embangweni Hospital,Hospital - CHAM,105,22.35,82.65,4
1013-0032,NORTH,Mzimba South District Hospital,District hospital - MoH,55,54.34,0.66,2
1013-0033,NORTH,Phala,Health post - MoH,24,3.57,20.43,4
1013-0034,NORTH,Mhalaunda,Health centre - CHAM,17.5,10.11,7.39,4
1014-0000,NORTH,NKHATA BAY,District vaccine store,181,158.26,22.74,3
1014-0001,NORTH,Nkhata Bay Facility District Hospital,District hospital - MoH,105,28.61,76.39,4
1014-0002,NORTH,Tchesamu,Health centre - MoH,85,3.05,81.95,4
1014-0003,NORTH,Kande Health Centre,Health centre - MoH,24,1.14,22.86,4
1014-0004,NORTH,Liuzi Health Centre,Health centre - MoH,0,9.61,-9.61,0
1014-0005,NORTH,Kachere,Health centre - MoH,105,18,87,4
1014-0006,NORTH,Tukombo,Health centre - Private,55,5.57,49.43,4
1014-0007,NORTH,Chintheche Rural Hospital,Rural hospital - MoH,55,16.02,38.98,4
1014-0008,NORTH,Kawiya Health Post,Health post - MoH,24,0.94,23.06,4
1014-0009,NORTH,Maula Health Centre,Health centre - MoH,105,14.54,90.46,4
1014-0010,NORTH,Chilembwe Health Centre,Health centre - MoH,85,4.34,80.66,4
1014-0011,NORTH,Vizara Dispensary,Health centre - Private,24,2.28,21.72,4
1014-0012,NORTH,Chitheka Health Centre,Health centre - MoH,0,6.34,-6.34,0
1014-0013,NORTH,Mzenga Health Centre,Health centre - MoH,79,25.03,53.97,4
1014-0014,NORTH,Kavuzi Clinic,Hospital - Private,160,5.64,154.36,4
1014-0015,NORTH,Kawalazi Clinic,Health centre - Private,24,2.25,21.75,4
1014-0016,NORTH,Chisala Health Centre,Health centre - MoH,24,6.75,17.25,4
1014-0017,NORTH,Chipunga Health Post,Health post - MoH,0,1.94,-1.94,0
1014-0018,NORTH,Chikwina,Health centre - MoH,0,6.97,-6.97,0
1014-0019,NORTH,Mpamba Health Centre,Health centre - MoH,0,13.6,-13.6,0
1014-0020,NORTH,Chombe Dispensary Private,Hospital - Private,105,3.41,101.59,4
1014-0021,NORTH,Luwawazi Health Centre,Health centre - MoH,17.5,4.18,13.32,4
1014-0022,NORTH,Kavuzi CCAP Clinic,Health centre - Private,0,2.58,-2.58,0
1014-0023,NORTH,Usisya Health Centre,Health centre - MoH,0,3.19,-3.19,0
1014-0024,NORTH,Bula Health Centre,Health centre - MoH,0,4.59,-4.59,0
1014-0025,NORTH,Nthungwa Health Centre,Health centre - MoH,0,2.95,-2.95,0
1014-0026,NORTH,Makumbo,Health post - MoH,0,1.78,-1.78,0
1014-0027,NORTH,Mtawa,Health post - MoH,55,0.69,54.31,4
1014-0028,NORTH,Khondowe,Health centre - MoH,85,1.85,83.15,4
1014-0029,NORTH,Ruarwe,Health centre - MoH,0,1.51,-1.51,0
1015-0000,NORTH,Ng'onga Health Centre,Health centre - MoH,24,6.43,17.57,4
1015-0001,NORTH,Muhuju Rural Hospital,Rural hospital - MoH,0,9.75,-9.75,0
1015-0002,NORTH,Phwezi Private Clinic,Health centre - Private,24,2.43,21.57,4
1015-0003,NORTH,Nzokoto Health Centre,Health centre - MoH,90,6.5,83.5,4
1015-0004,NORTH,Kasambara Health Centre,Health centre - Private,85,3.72,81.28,4
1015-0005,NORTH,Lura Health Centre,Health centre - MoH,55,4.74,50.26,4
1015-0006,NORTH,Livingstonia Mission Hospital,Hospital - CHAM,55,6.36,48.64,4
1015-0007,NORTH,Luwich Health Centre,Health centre - CHAM,24,3.66,20.34,4
1015-0008,NORTH,Chitimba Health Centre,Health centre - MoH,55,3.45,51.55,4
1015-0009,NORTH,Charo Health Centre,Health centre - CHAM,85,2.13,82.87,4
1015-0010,NORTH,Mphomha Health Centre,Health centre - MoH,24,5.64,18.36,4
1015-0011,NORTH,Nthenje Health Centre,Health centre - CHAM,0,3.28,-3.28,0
1015-0012,NORTH,Katowo Rural Hospital,Rural hospital - MoH,37.5,7.67,29.83,4
1015-0013,NORTH,Thazima Health Centre,Health centre - MoH,0,1.82,-1.82,0
1015-0014,NORTH,Mwazisi Health Centre,Health centre - MoH,37.5,11.67,25.83,4
1015-0015,NORTH,Bolero Rural Hospital,Rural hospital - MoH,60,28.38,31.62,4
1015-0016,NORTH,St Patricks Health Centre,Health centre - CHAM,24,2.88,21.12,4
1015-0017,NORTH,Mulowe Health Centre,Health centre - CHAM,55,4.68,50.32,4
1015-0018,NORTH,Jalawe Health Centre,Health centre - MoH,24,3.39,20.61,4
1015-0019,NORTH,Zunga Health Centre,Health centre - CHAM,0,1.4,-1.4,0
1015-0020,NORTH,Rumphi District Hospital,District hospital - MoH,105,16.84,88.16,4
1015-0021,NORTH,Rumphi District Vaccine Store,District vaccine store,0,127.2,-127.2,0
1016-0002,SOUTH,Dziwe,Health post - MoH,55,6.82,48.18,4
1016-0003,SOUTH,Utale 2,Health centre - CHAM,24,10.16,13.84,4
1016-0004,SOUTH,Utale 1,Health centre - CHAM,41,11.44,29.56,4
1016-0005,SOUTH,Phimbi,Health centre - MoH,55,14.58,40.42,4
1016-0006,SOUTH,Phalula,Health centre - CHAM,55,14.93,40.07,4
1016-0007,SOUTH,Kankao,Health centre - CHAM,55,16.74,38.26,4
1016-0008,SOUTH,Mbera,Health centre - MoH,76,33.45,42.55,4
1016-0009,SOUTH,Kalembo,Health centre - MoH,55,29.13,25.87,4
1016-0010,SOUTH,BALAKA,District hospital - MoH,105,53.28,51.72,4
1016-0011,SOUTH,BALAKA,District vaccine store,282,238.57,43.43,3
1016-0012,SOUTH,ULONGWE,Health centre - CHAM,76,10.5,65.5,4
1016-0013,SOUTH,NAMANOLO,Health centre - MoH,55,19.14,35.86,4
1016-0014,SOUTH,NANDUMBO,Health centre - MoH,24,9.46,14.54,4
1016-0015,SOUTH,MWIMA,Health post - MoH,55,18.02,36.98,4
1016-0016,SOUTH,kwitanda,Health centre - MoH,24,11.54,12.46,4
1016-0017,SOUTH,Chendausiku,Health centre - MoH,17,8.7,8.3,4
1017-0000,SOUTH,MACHINGA HOSPITAL,District hospital - MoH,109.5,26.48,83.02,4
1017-0001,SOUTH,MACHINGA DISTRICT VACCINE STORE,District vaccine store,45,364.1,-319.1,0
1017-0002,SOUTH,NAMANDANJE PARISH HEALTH CENTRE,Health centre - CHAM,55,12.67,42.33,4
1017-0003,SOUTH,NTAJA,Health centre - MoH,45,25.96,19.04,4
1017-0004,SOUTH,CHAMBA,Health centre - MoH,55,16.48,38.52,4
1017-0005,SOUTH,MPOSA,Health centre - CHAM,55,12.54,42.46,4
1017-0006,SOUTH,MPHETA HEALTH POST,Health post - MoH,17,8.76,8.24,4
1017-0007,SOUTH,GAWANANI HEALTH CENTRE,Health centre - CHAM,17,6.04,10.96,4
1017-0008,SOUTH,NGOKWE HEALTH CENTRE,Health centre - MoH,55,22.62,32.38,4
1017-0009,SOUTH,CHIMBIRA HEALTH POST,Health post - MoH,55,5.11,49.89,4
1017-0010,SOUTH,CHIKWEO HEALTH CENTRE,Health centre - MoH,92.5,49.33,43.17,4
1017-0011,SOUTH,CHIPOLONGA,Health post - MoH,75,18.77,56.23,4
1017-0012,SOUTH,ZUMULU HEALTH POST,Health post - MoH,0,7.65,-7.65,0
1017-0013,SOUTH,MLOMBA HEALTH CENTRE,Health centre - MoH,126.5,11.59,114.91,4
1017-0014,SOUTH,NAINUNJE HEALTH CENTRE,Health centre - MoH,75,12.13,62.87,4
1017-0015,SOUTH,MPIRI HEALTH CENTRE,Health centre - CHAM,55,16.13,38.87,4
1017-0016,SOUTH,CHISUWI HEALTH POST,Health post - MoH,24,10.7,13.3,4
1017-0017,SOUTH,NYAMBI HEALTH CENTRE,Health centre - MoH,165,18.61,146.39,4
1017-0018,SOUTH,MKWEPERE HEALTH CENTRE,Health centre - MoH,110,7.91,102.09,4
1017-0019,SOUTH,MWITIYA HEALTH POST,Health post - MoH,55,3.87,51.13,4
1017-0020,SOUTH,LIFUNE HEALTH CENTRE,Health centre - Private,24,3.28,20.72,4
1017-0021,SOUTH,KAWINGA HEALTH CENTRE,Health centre - MoH,55,15.74,39.26,4
1017-0022,SOUTH,CHITUNDU HEALTH POST,Health post - MoH,24,7.22,16.78,4
1017-0023,SOUTH,NSANAMA HEALTH CENTRE,Health centre - CHAM,112.5,25.35,87.15,4
1017-0024,SOUTH,NAMANJA HEALTH CENTRE,Health centre - MoH,55,19.8,35.2,4
1017-0025,SOUTH,LIKHONYOWA HEALTH POST,Health post - MoH,55,3.28,51.72,4
1017-0026,SOUTH,NAYUCHI HEALTH CENTRE,Health centre - MoH,63,9.84,53.16,4
1017-0027,SOUTH,CHAPUSA HEALTH POST,Health post - MoH,24,4.61,19.39,4
1017-0028,SOUTH,MBANIRA HEALTH POST,Health post - MoH,24,8.23,15.77,4
1017-0029,SOUTH,NTHOLOWA HEALTH CENTRE,Health centre - CHAM,0,7.15,-7.15,0
1017-0030,SOUTH,MBONECHERA DISPENSARY,Dispensary - MoH,0,6.38,-6.38,0
1017-0031,SOUTH,MANGAMBA HEALTH CENTRE,Health centre - MoH,55,13.79,41.21,4
1017-0032,SOUTH,CHIKULUMA HEALTH POST,Health post - MoH,55,3.03,51.97,4
1017-0033,SOUTH,MOLIPA HEALTH POST,Health post - MoH,24,8.64,15.36,4
1017-0034,SOUTH,MACHINGA HEALTH CENTRE,Health centre - MoH,0,11.31,-11.31,0
1018-0000,SOUTH,Mangochi District Vaccine Store,District vaccine store,210,578.32,-368.32,0
1018-0001,SOUTH,MANGOCHI,Health post - MoH,85,8.19,76.81,4
1018-0002,SOUTH,LULANGA,Health centre - CHAM,55,12.44,42.56,4
1018-0003,SOUTH,MAKANJIRA,Health centre - MoH,55,23.97,31.03,4
1018-0004,SOUTH,LUGOLA,Health centre - CHAM,37.5,11.84,25.66,4
1018-0005,SOUTH,KADANGO,Health centre - MoH,55,6.04,48.96,4
1018-0006,SOUTH,NAMALAKA,Health centre - CHAM,55,7.26,47.74,4
1018-0007,SOUTH,LUNGWENA,Health centre - MoH,55,22.88,32.12,4
1018-0008,SOUTH,ST MARTIN,Hospital - CHAM,60,21.06,38.94,4
1018-0009,SOUTH,MASE,Health centre - CHAM,37.5,21.86,15.64,4
1018-0010,SOUTH,MALOMBE,Health centre - MoH,55,12.14,42.86,4
1018-0011,SOUTH,CHIUNDA,Dispensary - MoH,37.5,21.86,15.64,4
1018-0012,SOUTH,MULI BWANJI,Hospital - CHAM,55,4.35,50.65,4
1018-0013,SOUTH,SINYALA,Health centre - MoH,55,12.54,42.46,4
1018-0014,SOUTH,MBALAMA,Health post - MoH,0,12.23,-12.23,0
1018-0015,SOUTH,MKUMBA,Health centre - MoH,55,15.5,39.5,4
1018-0016,SOUTH,NAMANGALAMU,Health centre - MoH,24,16.39,7.61,4
1018-0017,SOUTH,NANCHOLI,Dispensary - MoH,55,10.21,44.79,4
1018-0018,SOUTH,CHIPONDE,Dispensary - MoH,24,8.02,15.98,4
1018-0019,SOUTH,SISTER MARTHA,Health centre - CHAM,0,7.61,-7.61,0
1018-0020,SOUTH,MANGOCHI,District hospital - MoH,55,51.43,3.57,2
1018-0021,SOUTH,NAMWERA,Health centre - MoH,60,10.92,49.08,4
1018-0022,SOUTH,JALASI,Health centre - MoH,55,17.43,37.57,4
1018-0023,SOUTH,IBA,Dispensary - MoH,55,13.22,41.78,4
1018-0024,SOUTH,KUKALANGA,Health centre - MoH,55,22.95,32.05,4
1018-0025,SOUTH,MALETA,Health post - MoH,85,2.37,82.63,4
1018-0026,SOUTH,NGAPANI HEALTH CENTRE PRIVATE,Health centre - Private,24,8.61,15.39,4
1018-0027,SOUTH,KATULI HEALTH CENTRE,Health centre - MoH,24,15.53,8.47,4
1018-0028,SOUTH,LUWALIKA HEALTH CENTRE,Health centre - CHAM,55,13.27,41.73,4
1018-0029,SOUTH,CHIUMBANGAME HEALTH CENTRE,Dispensary - MoH,55,7.83,47.17,4
1018-0030,SOUTH,CHIKOLE HEALTH CENTRE,Health centre - MoH,24,5.71,18.29,4
1018-0031,SOUTH,MWATAKATA HEALTH CENTRE,Health post - MoH,10.5,4.88,5.62,4
1018-0032,SOUTH,NGATALA HEALTH CENTRE,Health post - MoH,0,9.96,-9.96,0
1018-0033,SOUTH,MTIMABI HEALTH CENTRE,Health centre - MoH,37.5,20.24,17.26,4
1018-0034,SOUTH,KATEMA HEALTH CENTRE,Health centre - CHAM,55,20.2,34.8,4
1018-0035,SOUTH,PHILILONGWE HEALTH CENTRE,Health centre - MoH,24,14.2,9.8,4
1018-0036,SOUTH,CHILIPA HEALTH CENTRE,Health centre - MoH,55,21.58,33.42,4
1018-0037,SOUTH,KAPALE,Health centre - CHAM,55,6.2,48.8,4
1018-0038,SOUTH,CHALOPA,Health post - MoH,55,12.83,42.17,4
1018-0039,SOUTH,ASSALAMU HEALTH CENTRE,Health centre - CHAM,55,6.14,48.86,4
1018-0040,SOUTH,NAMIYASI HEALTH CENTRE,Health post - MoH,24,8.61,15.39,4
1018-0041,SOUTH,CHILONGA HEALTH,Dispensary - MoH,0,8.06,-8.06,0
1018-0042,SOUTH,MALEMBO HEALTH CENTRE,Health centre - MoH,24,16.68,7.32,4
1018-0043,SOUTH,NANKHWALI HEALTH CENTRE,Health centre - MoH,55,6.71,48.29,4
1018-0044,SOUTH,NKOPE HEALTH CENTRE,Health centre - CHAM,55,15.41,39.59,4
1018-0045,SOUTH,MONKEYBAY HEALTH CENTRE,Rural hospital - MoH,181,20.67,160.33,4
1018-0046,SOUTH,KOCHE HEALTH CENTRE,Health centre - CHAM,76,26.95,49.05,4
1018-0047,SOUTH,MPONDASI HEALTH CENTRE,Health centre - CHAM,24,12.6,11.4,4
1018-0048,SOUTH,NANKUMBA HEALTH CENTRE,Health centre - MoH,55,17.23,37.77,4
1019-0000,SOUTH,Mulanje District Hospital,District hospital - MoH,24,21.13,2.87,3
1019-0001,SOUTH,Mulanje District Vaccine Store,District vaccine store,105,355.2,-250.2,0
1019-0002,SOUTH,Milonde,Health centre - MoH,55,11.42,43.58,4
1019-0003,SOUTH,Mpala,Health centre - MoH,55,16.66,38.34,4
1019-0004,SOUTH,Mimosa Dispensary,Dispensary - MoH,0,17.07,-17.07,0
1019-0005,SOUTH,Rou Estate Dispensary,Health centre - Private,24,1.13,22.87,4
1019-0006,SOUTH,Namasalima Healt Centre,Health centre - CHAM,18,14.54,3.46,3
1019-0007,SOUTH,Muloza Health Centre,Health centre - MoH,55,29.79,25.21,4
1019-0008,SOUTH,Chisambo Dispensary,Health centre - Private,55,1.06,53.94,4
1019-0009,SOUTH,Naphimba,Health centre - MoH,17,11.35,5.65,4
1019-0010,SOUTH,Lujeri Tea Estate,Health centre - Private,37.5,9.58,27.92,4
1019-0011,SOUTH,Chambe Health Centre,Health centre - MoH,55,30.74,24.26,4
1019-0012,SOUTH,Kambenje Health Centre,Health centre - MoH,129,12.71,116.29,4
1019-0013,SOUTH,Mulomba Mealth Centre,Health centre - MoH,85,14.37,70.63,4
1019-0014,SOUTH,Kamwendo Health Post,Health post - MoH,55,24.01,30.99,4
1019-0015,SOUTH,Nkomaula Health Centre,Health centre - MoH,24,12.63,11.37,4
1019-0016,SOUTH,Namphungo Health Centre,Health centre - MoH,55,23.56,31.44,4
1019-0017,SOUTH,Namulenga Health Centre,Health centre - CHAM,24,6.04,17.96,4
1019-0018,SOUTH,Thuchila Health Centre,Health centre - MoH,55,24.18,30.82,4
1019-0019,SOUTH,Chonde Health Centre,Health centre - MoH,60,29.26,30.74,4
1019-0020,SOUTH,Mbiza Health Centre,Health centre - MoH,24,24.09,-9.00E-02,2
1019-0021,SOUTH,Chinyama Health Centre,Health centre - MoH,24,15.61,8.39,4
1019-0022,SOUTH,Dzenje Maternity,Maternity - MoH,24,3.96,20.04,4
1019-0023,SOUTH,Thembe Dispensary,Health centre - CHAM,55,9.35,45.65,4
1019-0024,SOUTH,Mulanje Mission Hospital,Hospital - CHAM,55,33.68,21.32,4
1019-0025,SOUTH,Chisitu Dispensary,Dispensary - MoH,24,1.71,22.29,4
1019-0026,SOUTH,Bondo Health Centre,Health centre - MoH,55,15.25,39.75,4
1020-0000,SOUTH,Phalombe District Hospital,District hospital - MoH,105,17.72,87.28,4
1020-0001,SOUTH,Phalombe DHO Vaccine Store,District vaccine store,210,224.22,-14.22,2
1020-0002,SOUTH,Holy Family Hospital,Health centre - CHAM,60,20.05,39.95,4
1020-0003,SOUTH,Sukasanje,Health centre - CHAM,55,7.7,47.3,4
1020-0004,SOUTH,Nkhulambe health Centre,Health centre - MoH,79,11.72,67.28,4
1020-0005,SOUTH,Mulungu Alinafe,Health post - MoH,24,6.75,17.25,4
1020-0006,SOUTH,Nambiti Health Post,Health post - MoH,24,8.28,15.72,4
1020-0007,SOUTH,Chilinga Maternity,Health centre - MoH,24,7.56,16.44,4
1020-0008,SOUTH,Nazombe Health Centre,Health centre - MoH,24,11.6,12.4,4
1020-0009,SOUTH,Nambazo health Centre,Health centre - MoH,60,26.14,33.86,4
1020-0010,SOUTH,Migowi Health Centre,Health centre - MoH,55,14.72,40.28,4
1020-0011,SOUTH,Kalinde Health Centre,Health centre - MoH,85,20.55,64.45,4
1020-0012,SOUTH,Waluma health post,Health post - MoH,0,14.64,-14.64,0
1020-0013,SOUTH,Mpasa Health Centre,Health centre - MoH,55,21.32,33.68,4
1020-0014,SOUTH,Mwanga Health Centre,Health centre - CHAM,63,12.7,50.3,4
1020-0015,SOUTH,Nkhwayi Health Centre,Health centre - MoH,0,20.01,-20.01,0
1020-0016,SOUTH,Chitekesa Health centre,Health centre - MoH,63,22.39,40.61,4
1021-0000,SOUTH,Zomba Central Hospital,Central hospital - MoH,55,40.63,14.37,4
1021-0001,SOUTH,Zomba DHO,District vaccine store,323.5,471.71,-148.21,0
1021-0002,SOUTH,Zomba DHO Facility,District hospital - MoH,55,26.23,28.77,4
1021-0003,SOUTH,Cobbe Barracks,Hospital - Private,55,3.38,51.62,4
1021-0004,SOUTH,Mmambo Health Centre,Health centre - MoH,55,12.56,42.44,4
1021-0005,SOUTH,Nkasala Health Centre,Health centre - MoH,160,12.13,147.87,4
1021-0006,SOUTH,Masm Clinic,Health centre - Private,55,0.23,54.77,4
1021-0007,SOUTH,Chilipa Health Centre,Health centre - CHAM,55,8.63,46.37,4
1021-0008,SOUTH,Chipini Health Centre,Health centre - MoH,55,16.24,38.76,4
1021-0009,SOUTH,Chingale Health Centre,Health centre - MoH,55,19.99,35.01,4
1021-0010,SOUTH,Changalume Health Centre,Health centre - MoH,55,2.26,52.74,4
1021-0011,SOUTH,Namikango Maternity,Health centre - CHAM,60,4.22,55.78,4
1021-0012,SOUTH,Lambulira Health Centre,Health centre - MoH,55,19.57,35.43,4
1021-0013,SOUTH,Magomero Health Centre,Health centre - CHAM,17,18.18,-1.18,2
1021-0014,SOUTH,Nasawa Health Centre,Health centre - MoH,110,22.47,87.53,4
1021-0015,SOUTH,Mayaka Health Centre,Health centre - MoH,55,36.05,18.95,4
1021-0016,SOUTH,Ngwelero Health Centre,Health centre - MoH,17,19.66,-2.66,1
1021-0017,SOUTH,Pilimiti Hospital,Hospital - Private,55,21.32,33.68,4
1021-0018,SOUTH,Likangala Health Centre,Health centre - MoH,55,24.57,30.43,4
1021-0019,SOUTH,Chamba Health Centre,Health centre - MoH,55,16.49,38.51,4
1021-0020,SOUTH,Makwapala Health Centre,Health centre - MoH,37.5,25.52,11.98,4
1021-0021,SOUTH,Bimbi,Health centre - MoH,92.5,17.17,75.33,4
1021-0022,SOUTH,Namasalima,Health centre - MoH,55,10.58,44.42,4
1021-0023,SOUTH,St Lukes,Hospital - CHAM,105,7.59,97.41,4
1021-0024,SOUTH,Machinjiri,Health centre - MoH,55,6.32,48.68,4
